Locality,Address,Type of Property,Subtype of Property,Price,Type Of Sale,Number of Rooms,Area,Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Surface of the Land,Surface Area of the Plot of the Land,Number of Facades,Swimming Pool,State of the Building
Antwerpen,"August Sniedersstraat 37 / 3, 2060 Antwerpen",Appartement,None,€289.00,For Sale,2,84 m²,0,0,0,0,0,84 m²,0,0,0,0
Antwerpen,"Bisschopstraat 41 / 1, 2060 Antwerpen",Appartement,None,€449.00,For Sale,2,125 m²,0,0,0,0,W,125 m²,0,0,0,0
Antwerpen,"Bisschopstraat 41 / 2, 2060 Antwerpen",Appartement,None,€449.00,For Sale,2,125 m²,0,0,0,0,W,125 m²,0,0,0,0
Antwerpen,"Bisschopstraat 41, 2060 Antwerpen",Gelijkvloers app. (Appartement),None,€499.00,For Sale,2,140 m²,0,0,0,0,W,140 m²,0,0,0,0
Antwerpen,"Blancefloerlaan 39 / 3, 2050 Antwerpen",Appartement,None,€235.00,For Sale,3,115 m²,0,0,0,0,0,115 m²,0,0,0,0
Antwerpen,"Blijde-Inkomststraat 39, 2140 Borgerhout",Studio met slaaphoek (Appartement),None,€129.00,For Sale,1,"73,03 m²",0,0,0,0,0,"73,03 m²",0,0,0,0
Antwerpen,"Bouwensstraat, 2140 Borgerhout",Project,None,Prijs op aanvraag »,For Sale,op aanvraag »,op aanvraag »,0,0,0,0,0,op aanvraag »,op aanvraag »,0,0,0
Antwerpen,"Brouwersvliet 18 / 101, 2000 Antwerpen",Appartement,None,€350.00,For Sale,2,101 m²,0,0,0,0,0,101 m²,0,0,0,0
Antwerpen,"Brouwersvliet 18 / 201, 2000 Antwerpen",Appartement,None,€350.00,For Sale,2,101 m²,0,0,0,0,0,101 m²,0,0,0,0
Antwerpen,"Brouwersvliet 18 / 301, 2000 Antwerpen",Appartement,None,€350.00,For Sale,2,101 m²,0,0,0,0,0,101 m²,0,0,0,0
Antwerpen,"Dambruggestraat 352, 2060 Antwerpen",Woning (Huis),None,€265.00,For Sale,2,140 m²,0,0,0,0,0,140 m²,op aanvraag »,0,0,gesloten
